,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,82.73198943138122,7.353214005927211,20.497950315475464,0.04324061311371323,0.5,balanced,scale,rbf,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}",0.7490203021506513,0.7460900497932591,0.7518388451453002,0.7510306623109475,0.7532336297493938,0.7502426978299104,0.0024840686357571477,1
14,86.59262714385986,7.5243168229044155,20.566924333572388,0.018488728211142724,0.5,balanced,auto,rbf,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}",0.7496264852179376,0.7460899272825341,0.7514346822635343,0.7513337538445908,0.7518189167340339,0.7500607530685262,0.0021239302188265346,2
2,76.26244015693665,6.549524927457577,218.37966613769532,366.64734987973844,0.1,balanced,scale,rbf,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}",0.751042137482189,0.7485159050773835,0.7511309169209036,0.7470894514508781,0.7518189167340339,0.7499194655330775,0.001806371129831123,3
22,94.10552349090577,7.081604057262583,20.502812767028807,0.03978684538443061,1,balanced,auto,rbf,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}",0.7489188836888078,0.7445740816636891,0.7520412328629956,0.7511321216096994,0.752728375101051,0.7498789389852486,0.002947150659750331,4
18,647.6934588432312,448.9275333391278,538.1814460754395,442.3081722845616,1,balanced,scale,rbf,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}",0.7484138332250065,0.7450793363120318,0.7519401206779646,0.7518394576989251,0.7516168148746969,0.749777912557725,0.0026923597537603385,5
6,76.46566338539124,6.739881663794199,20.955301523208618,0.05869181403820644,0.1,balanced,auto,rbf,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}",0.7498295467446205,0.7480107525213116,0.7504236420870405,0.7470893493586073,0.7516168148746969,0.7493940211172554,0.0016380206302283617,6
16,217.08137879371642,292.8483547216467,6.508862781524658,0.017593407804341647,1,balanced,scale,linear,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear'}",0.7488173427162392,0.7476046294679457,0.7527492223427547,0.7459801780913907,0.7510105092966854,0.7492323763830031,0.0024053510702321235,7
20,71.68490538597106,4.116323807553842,6.507025051116943,0.017492870711892948,1,balanced,auto,linear,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear'}",0.7488173427162392,0.7476046294679457,0.7527492223427547,0.7459801780913907,0.7510105092966854,0.7492323763830031,0.0024053510702321235,7
12,59.62151999473572,4.8923953994165075,6.5065874576568605,0.020513708205775985,0.5,balanced,auto,linear,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear'}",0.7487163122050249,0.7477056803976143,0.7527492223427547,0.7459801372544824,0.7510105092966854,0.7492323722993124,0.002396002686974012,9
8,131.96869797706603,143.18446539557584,6.507640409469604,0.02146234639034225,0.5,balanced,scale,linear,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear'}",0.7487163122050249,0.7477056803976143,0.7527492223427547,0.7459801372544824,0.7510105092966854,0.7492323722993124,0.002396002686974012,9
