,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12,0.5570755004882812,0.00834157369710658,0.026341867446899415,0.00012561753423815828,False,balanced,gini,10,sqrt,30,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 30}",0.7512417074532095,0.7532612150809723,0.7589137374216197,0.7499215727175477,0.7531325788197252,0.7532941622986149,0.003072254894296579,1
368,1.6785820960998534,0.010168068636827645,0.07616539001464843,0.00019843825693134553,False,balanced,entropy,10,auto,90,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 90}",0.7537681440425565,0.7525543281977383,0.7583077381204208,0.7509323270356831,0.7507073565076798,0.7532539787808158,0.0027629589987959165,2
7,1.4631982803344727,0.0044251848289332705,0.06802282333374024,0.000220352151933596,False,balanced,gini,10,auto,80,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 80}",0.7528585835832688,0.7532615213577847,0.758408360262552,0.7499219606681768,0.7515157639450283,0.7531932379633621,0.0028575979771744177,3
13,0.7402420520782471,0.004874680608218962,0.03481273651123047,0.0001291473104421956,False,balanced,gini,10,sqrt,40,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 40}",0.7539702867388021,0.7512408090412261,0.7572971267314645,0.7510330716885392,0.7521220695230396,0.7531326727446144,0.0023260724816814527,4
369,1.8652178287506103,0.005397131953074279,0.08471136093139649,0.0003726505241641267,False,balanced,entropy,10,auto,100,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 100}",0.7514438501494549,0.7542721940021035,0.7567918312462134,0.7502245213220116,0.7528294260307196,0.7531123645501007,0.002284176549501725,5
363,0.7494593143463135,0.004949333816945544,0.034702205657958986,0.00019384609927884178,False,balanced,entropy,10,auto,40,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 40}",0.752656134610211,0.7517460024342064,0.7575998098960244,0.7515384488476069,0.7518189167340339,0.7530718625044164,0.0022958341723816424,6
26,1.2811762332916259,0.010066182474014366,0.059731340408325194,0.0003280879998828515,False,balanced,gini,10,log2,70,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 70}",0.7510397281045974,0.7540699696320414,0.7584086665393643,0.7500228278317578,0.7517178658043654,0.7530518115824252,0.0029911594630189888,7
367,1.4987887382507323,0.006952226378536492,0.06805529594421386,0.00020368402710566495,False,balanced,entropy,10,auto,80,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 80}",0.751949145634706,0.7537668168430358,0.7579033506356592,0.7501235112292514,0.7509094583670171,0.7529304565419339,0.002769675826833132,8
3,0.7483949184417724,0.004152701117470216,0.03515758514404297,0.0004208819485149101,False,balanced,gini,10,auto,40,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 40}",0.7516458907534296,0.7544740304215365,0.7573983614272205,0.7504263577414445,0.7505052546483427,0.7528899789983947,0.0026884503536569477,9
25,1.1052875995635987,0.0073044993128058185,0.051279449462890626,0.00019281390300784088,False,balanced,gini,10,log2,60,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 60}",0.7514440543339966,0.753867826935796,0.7576003203573785,0.7493155529978945,0.7521220695230396,0.7528699648296211,0.00277843134889386,10
